CANTON,D1_norm,D2_norm,D3_norm,IBTC,tipologia_num,tipologia,pob_total,pob_menores5,pob_mayores65,pob_0_3,pob_discapacidad,jef_fem,jef_total,pct_menores5,pct_mayores65,pct_discap,pct_jef_fem,pct_nbi
501,0.25030088701921305,0.21395774743028467,0.30401188865816736,0.24650583151143254,1,Cobertura Relativa,217261,16310,19214,12826,15791,5261,106010,0.07507099755593502,0.08843740938318428,0.07268216569011465,0.04962739364210923,0.37355070629335224
502,0.3543638159190067,0.36078339556217603,0.4068192955435567,0.36742274370118444,2,En Transición,53793,4798,3548,3824,4182,1588,26389,0.08919376127005373,0.06595653709590467,0.07774245719703307,0.06017658873015271,0.46141691298124293
503,0.27344232792122963,0.25411540160783114,0.6737243903534474,0.34576796988231384,2,En Transición,21867,1682,2543,1363,1858,331,10926,0.07691955915306169,0.11629395893355285,0.08496821694791237,0.030294709866373788,0.6895321717656743
504,0.5040848726700222,0.21520120262637984,0.6210240716823827,0.4119192444550374,3,Vulnerable,66980,4968,7536,3961,7469,1681,31579,0.07417139444610331,0.11251119737234995,0.11151089877575396,0.05323157794737009,0.644490892803822
505,0.3239357674688987,0.13644323386700744,0.4375485250691751,0.2716613055481975,1,Cobertura Relativa,67493,4605,7285,3555,5663,1621,32200,0.06822929785311069,0.10793711940497533,0.08390499755530204,0.0503416149068323,0.4876802038729942
506,0.26891545480814943,0.2845548718281664,0.5283937468840232,0.327066880031331,2,En Transición,24356,1973,2187,1579,1920,492,11498,0.08100673345376909,0.08979306946953523,0.0788306782722943,0.042790050443555404,0.5653227130891773
507,0.6016494654264857,0.20551996656856852,0.8299143626322385,0.4888506453244694,4,Crítico,18460,1357,2368,1077,2150,513,9014,0.07351029252437703,0.12827735644637053,0.11646803900325027,0.056911471045041045,0.8230227518959913
601,0.17639602697548454,0.11070349501286575,0.1626251230709954,0.1473648334095392,1,Cobertura Relativa,260882,16792,26789,13190,16532,5768,123488,0.06436626520802509,0.10268627195437018,0.06336964604687177,0.04670899196683079,0.252711954063523
602,0.47073136862190695,0.26150105605508805,0.7288346287374288,0.4386598956182838,3,Vulnerable,37275,2999,4933,2346,3656,698,17575,0.0804560697518444,0.13234071093226024,0.09808182427900737,0.03971550497866287,0.7366331321260898
603,0.6985286839014831,0.06774484272484547,0.8174006577590609,0.4699895422023436,4,Crítico,30468,1821,5818,1433,4330,539,14425,0.059767625049231984,0.19095444400682685,0.14211631876066694,0.03736568457538995,0.8123276880661677
604,0.352408613880729,0.1469290989299339,0.30234280090455234,0.26020364530517565,1,Cobertura Relativa,13431,953,1315,719,1241,334,6367,0.07095525277343459,0.09790782518055245,0.09239818330727421,0.05245798649285378,0.37212419030600846
